z_round,dcm_mpc,dcm_transverse_mpc
0.6698,2417.18712389,2417.18712389
0.6699,2417.4828827,2417.4828827
0.67,2417.77862382,2417.77862382
0.6701,2418.07434723,2418.07434723
0.6702,2418.37005296,2418.37005296
0.6703,2418.66574098,2418.66574098
0.6704,2418.96141132,2418.96141132
0.6705,2419.25706396,2419.25706396
0.6706,2419.55269891,2419.55269891
0.6707,2419.84831616,2419.84831616
0.6708,2420.14391573,2420.14391573
0.6709,2420.43949761,2420.43949761
0.671,2420.73506181,2420.73506181
0.6711,2421.03060831,2421.03060831
0.6712,2421.32613714,2421.32613714
0.6713,2421.62164827,2421.62164827
0.6714,2421.91714173,2421.91714173
0.6715,2422.2126175,2422.2126175
0.6716,2422.50807559,2422.50807559
0.6717,2422.803516,2422.803516
0.6718,2423.09893874,2423.09893874
0.6719,2423.39434379,2423.39434379
0.672,2423.68973117,2423.68973117
0.6721,2423.98510087,2423.98510087
0.6722,2424.2804529,2424.2804529
0.6723,2424.57578725,2424.57578725
0.6724,2424.87110394,2424.87110394
0.6725,2425.16640295,2425.16640295
0.6726,2425.46168429,2425.46168429
0.6727,2425.75694796,2425.75694796
0.6728,2426.05219396,2426.05219396
0.6729,2426.34742229,2426.34742229
0.673,2426.64263296,2426.64263296
0.6731,2426.93782597,2426.93782597
0.6732,2427.23300131,2427.23300131
0.6733,2427.52815898,2427.52815898
0.6734,2427.823299,2427.823299
0.6735,2428.11842135,2428.11842135
0.6736,2428.41352605,2428.41352605
0.6737,2428.70861308,2428.70861308
0.6738,2429.00368246,2429.00368246
0.6739,2429.29873418,2429.29873418
0.674,2429.59376825,2429.59376825
0.6741,2429.88878466,2429.88878466
0.6742,2430.18378341,2430.18378341
0.6743,2430.47876452,2430.47876452
0.6744,2430.77372797,2430.77372797
0.6745,2431.06867378,2431.06867378
0.6746,2431.36360193,2431.36360193
0.6747,2431.65851244,2431.65851244
0.6748,2431.9534053,2431.9534053
0.6749,2432.24828051,2432.24828051
0.675,2432.54313808,2432.54313808
0.6751,2432.837978,2432.837978
0.6752,2433.13280028,2433.13280028
0.6753,2433.42760492,2433.42760492
0.6754,2433.72239192,2433.72239192
0.6755,2434.01716128,2434.01716128
0.6756,2434.311913,2434.311913
0.6757,2434.60664708,2434.60664708
0.6758,2434.90136353,2434.90136353
0.6759,2435.19606234,2435.19606234
0.676,2435.49074352,2435.49074352
0.6761,2435.78540706,2435.78540706
0.6762,2436.08005297,2436.08005297
0.6763,2436.37468125,2436.37468125
0.6764,2436.6692919,2436.6692919
0.6765,2436.96388492,2436.96388492
0.6766,2437.25846032,2437.25846032
0.6767,2437.55301808,2437.55301808
0.6768,2437.84755822,2437.84755822
0.6769,2438.14208074,2438.14208074
0.677,2438.43658563,2438.43658563
0.6771,2438.7310729,2438.7310729
0.6772,2439.02554255,2439.02554255
0.6773,2439.31999457,2439.31999457
0.6774,2439.61442898,2439.61442898
0.6775,2439.90884577,2439.90884577
0.6776,2440.20324494,2440.20324494
0.6777,2440.4976265,2440.4976265
0.6778,2440.79199044,2440.79199044
0.6779,2441.08633676,2441.08633676
0.678,2441.38066548,2441.38066548
0.6781,2441.67497658,2441.67497658
0.6782,2441.96927007,2441.96927007
0.6783,2442.26354595,2442.26354595
0.6784,2442.55780422,2442.55780422
0.6785,2442.85204488,2442.85204488
0.6786,2443.14626794,2443.14626794
0.6787,2443.44047339,2443.44047339
0.6788,2443.73466123,2443.73466123
